?,Designator,Footprint,Quantity,Value,LCSC Part #,DigiKey Part #,MFG Part #,Notes
X,"C1, C13, C37, C45, C50, C6, C7",0402,7,1u,,,GRM155R61H105KE05D,
X,"C10, C11, C25, C34, C42, C8, C9",0805,7,10u,,,GRM21BR61H106KE43L,
X,"C12, C15, C16, C17, C19, C2, C20, C22, C23, C24, C28, C33, C38, C40, C44, C46, C48, C54, C55, C56, C62, C63, C64, C65, C66",0402,25,100n,,,GCM155R71H104KE02J,
X,"C14, C36, C51, C53, C68, C70, C72",0805,7,4.7u,,,GRM21BR61H475KE51L,
X,"C18, C27",CP_Elec_6.3x7.7,2,47u,,,8.65081E+11,
X,"C26, C35",0402,2,220n,,,GRM155R61J224KE01J,
X,"C29, C30, C31, C32, C39, C41, C47, C49",0805,8,22u,,,C2012X5R1V226M125AC,
X,"C3, C67, C69, C71",0402,4,2.2u,,,C1005X5R1V225K050BC,
X,"C4, C5",0402,2,4.3pF,,,GJM1555C1H4R3CB01D,
X,C43,0402,1,10n,,,GCM155R71H103KA55D,
X,"D1, D2",SOT-323_SC-70,2,SP0502BAJT,,,SP0502BAJTG,
X,D4,SOT-23,1,MMBZ5242BLT3G,,,MMBZ5242BLT3G,
X,J19,BarrelJack_Horizontal,1,Barrel_Jack,,,,DNP
X,J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,,,,DNP
X,"L1, L2",IND_223NLT_PUL,2,3.3u,,,PA4340.332ANLT,
X,Q1,Diodes_PowerDI3333-8,1,DMP3013SFV-7,,,DMP3013SFV-7,
X,"R1, R10, R17, R22, R5, R7",0402,6,10k,,,RNCF0402TKY10K0,
X,"R11, R14, R16, R4, R8",0402,5,1k,,,RNCF0402TKY1K00,
X,R12,0402,1,1.6k,,,RC0402FR-071K6L,
X,R13,0402,1,500R,,,RT0402FRE07500RL,
X,R15,0402,1,100R,,,RNCF0402TKY100R,
X,"R18, R2, R3",0402,3,100k,,,TNPU0402100KAYEP00,
,"R19, R20, R21, R23",0402,4,0R,,,RC0402JR-070RL,
X,R26,0402,1,12K 1%,,,RC0402FR-0712KL,
X,"R6, R9",0402,2,24.9k,,,RC0402FR-0724K9L,
,"SW1, SW2",SW_PUSH_6mm_H5mm,2,SW_Push,,,,Already purchased
,SW3,SW_E-Switch_EG1224_SPDT_Angled,1,SW_SPDT,,,EG1224,
X,U1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,KC2016Z20.0000C15XXK,,,KC2016Z20.0000C15XXK,
,"U10, U2, U21, U3",N_8_ADI,4,AMP03GPZ,,,AMP03GPZ,
X,"U11, U12, U8, U9",SOT-23-5,4,TMUX1101DCK,,,TMUX1101DCKR,
X,"U13, U15",Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,2,LMR33640DDDA,,,LMR33640DDDAR,
,U17,DIP-8_W7.62mm,1,MCP3202,,,MCP3202-CI/P,
X,U19,MSOP-10_3x3mm_P0.5mm,1,AD9833xRM,,,AD9833BRMZ,
,U20,DIP-8_W7.62mm,1,LF353N/NOPB,,,LM833N/NOPB,
,U4,CR2013-MI2120,1,CR2013-MI2120,,,,Random amazon TFT that fit the footprint
X,U5,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,,,STM32F446RET6TR,
X,"U6, U7",SOT-223-3_TabPin2,2,LM1117MP-ADJ,,,LM1117MP-ADJ/NOPB,
X,Y1,XTAL_CG04874_NDK-L,1,8 MHz,,,CG04874-8M,
